silo_id,layer_index,lot_id,supplier,segment_mass_kg,discharged_mass_kg,remaining_mass_kg
S1,1,L1019,SUP6,1064.604,871.8664682967801,192.73753170321993
S1,2,L1016,SUP5,1034.262,317.96837256140736,716.2936274385926
S1,3,L1011,SUP2,637.781,14.289839141812612,623.4911608581873
S2,1,L1015,SUP6,619.99,460.8460673402031,159.14393265979692
S2,2,L1015,SUP6,927.163,360.5334209472825,566.6295790527175
S2,3,L1017,SUP4,797.508,24.68961059947534,772.8183894005247
S2,4,L1001,SUP5,384.649,0.33690111303911036,384.3120988869609
S3,1,L1003,SUP3,594.606,348.51649601361567,246.08950398638433
S3,2,L1022,SUP3,906.576,257.7403518686411,648.835648131359
S3,3,L1016,SUP5,432.948,16.71818920167355,416.2298107983264
S3,4,L1005,SUP4,932.613,2.685962916069658,929.9270370839304
